#metro_id,name,population
1,Tokyo,36923000
2,Seoul,25620000
3,Shanghai,24750000
4,Guangzhou,23900000
5,Delhi,21753486
6,Mexico City,21339781
7,Beijing,21148000
8,Lagos,21000000
9,Sao Paulo,20935204
10,Mumbai,20748395
11,New York,20092883
12,Osaka,19342000
13,Dhaka,17151925
14,Kolkata,14617882
15,Tehran,14595904
16,Istanbul,14377018
17,London,14031830
18,Los Angeles,13262220
19,Buenos Aires,13074000
20,Paris,12005077
21,Rio de Janeiro,11973505
22,Manila,11855975
23,Rhine-Ruhr,11470000
24,Shenzhen,10630000
25,Jakarta,10075310
26,Lima,9886647
27,Chicago,9554598
28,Nagoya,9107000
29,Chennai,8917749
30,Bangalore (Bengaluru),8728906
31,Bangkok,8305218
32,Bogota,7878783
33,Hyderabad,7749334
34,Hong Kong,7298600
35,Taipei,7045488
36,Dallas-Fort Worth,6954330
37,Santiago,6683852
38,Luanda,6542944
39,Madrid,6378297
40,Ahmedabad,6352254
41,Houston,6490180
42,Philadelphia,6051170
43,Washington D.C.,6033737
44,Toronto,6055724
45,Miami,5929819
46,Belo Horizonte,5767414
47,Atlanta,5614323
48,Singapore,5535000
49,Barcelona,5445616
50,Munich,5203738
51,Stuttgart,5200000
52,Ankara,5150072
53,Hamburg,5100000
54,Pune,5049968
55,Berlin,5005216
56,Boston,4732161
57,Sydney,4667283
58,San Francisco,4594060
59,Surat,4585367
60,Phoenix,4489109
61,Inland Empire,4441890
62,Rome,4321244
63,Detroit,4296611
64,Milan,4267946
65,Melbourne,4246345
